type,kalimat
2,"Ketika saya menerangkan kepada orang lain, saya cenderung memperlihatkan apa yang saya maksud"
2,Saya selalu membuat simbol-simbol dan gambar dalam catatab
2,Saya menghafal dengan membayangkan sesuatu yang saya hafalkan
2,"Manfaatkan kartu flash sebagai alat untuk mempelajari kata-kata baru, memperkuat koneksi visual dengan makna atau konsep yang terkait dengannya."
0,Memproses informasi atau melakukan tugas baru setelah mendengarkan instruksi dari seorang ahli.
0,Saya sering menciptakan kalimat-kalimat pelajaran menjadi sebuah lagu yang mudah dihafalkan
1,Saya mengetahui suadana hati seseorang dengan memperhatikan gerakan badannya
2,"Ketika berbelanja pakaian, saya cenderung membayangkan saya mengenakan baju itu"
2,Gambar dan video memberikan representasi visual yang dapat meningkatkan pemahaman dan keterlibatan dengan konten yang disajikan.
1,Saya sangat pandai menyusun potongan gambar
1,"Hal yang paling mengganggu saya ketika mencoba untuk berkonsentrasi yaitu sensasi lain seperti, lapar, sepatu ketat, atau khawatir"
0,"Ketika saya mendengarkan sebuah band, saya lebih fokus mendengarkan lirik dan musiknya."
1,Saya mengingat hal-hal terbaik dengan melakukan dan mempraktikkan aktivitas atau membayangkannya dilakukan
0,"Jika saya harus mengeluh tentang barang yang rusak, saya paling nyaman mengeluh melalui telepon"
0,Memperoleh pengetahuan dengan membaca keras
2,Ingatan pertama saya yaitu saat melihat sesuatu.
0,"Ketika saya berkonsentrasi, saya paling sering memikirkan masalah dan kemungkinan solusi di kepala saya."
1,Saya senang menjelaskan sesuatu dengan cara mendemonstrasikan
1,Saya terjebak.
1,"Jika saya menjelaskan kepada seseorang, saya cenderung mendorong mereka untuk mencoba dan membicarakannya melalui ide saya saat mereka melakukannya"
0,Saya dapat mengerjakan suatu pekerjaan dengan cara bekerja sambil berbicara dengan diri sendiri atau orang lain
0,Minta orang lain untuk 'mendengar' pemahaman saya tentang suatu topik.
0,"Saya sangat menyukai mendengarkan musik, radio, dan mengobrol dengan teman"
0,Saya senang mengisi waktu luang dengan mendengarkan radio/musik
0,"Membaca materi dengan suara yang keras atau merekamnya, serta belajar berkelompok"
1,Menggunakan kartu flash dan susun dalam kelompok untuk menunjukkan hubungan antar gagasan.
2,Saya lebih fokus dengan adanya visualisasi
0,Merekam kata-kata ejaan saya sendiri dan dengarkan rekamannya
1,Cara belajar yang paling saya suka yaitu menggunakan model dan praktek
0,"Jika mengingat seseorang, saya sering ingat namanya tapi lupa wajahnya"
1,Saya cenderung mengatakan saya mengerti bagaimana perasaan Anda sebenarnya
2,Cara belajar yang paling saya suka yaitu membaca
1,"Saat saya cemas, saya tidak bisa duduk diam dan terus bergerak."
2,"Jika saya harus mengeluh tentang barang yang rusak, saya sangat suka untuk menulis surat"
2,Memproses informasi atau melakukan tugas baru setelah membaca instruksi atau melihat orang lain melakukannya terlebih dahulu.
1,"Jika saya memilih makanan dari menu, saya cenderung membayangkan seperti apa rasanya makanan itu."
1,"Carilah peluang untuk mengalami informasi secara langsung, karena ini dapat sangat membantu dalam pemahaman."
1,Duduk di dekat pintu atau tempat lain di mana saya dapat dengan mudah bangun dan bergerak
2,"Untuk dapat mengingat dengan cepat, cukup membaca catatan"
2,Sering membaca sambil menandai dengan warna yang mencolok
2,Saya mudah mengingat dengan melalui informasi tertulis
0,Saya mengisi waktu luang dengan mendengarkan radio atau musik
1,"Saya cenderung mengingat kejadian nyata atau pengalaman nyata yang terjadi selama presentasi, iklan, atau video."
2,Cara belajar senang menggunakan model dan praktik
1,"Jika catatan saya dari presentasi kurang, mungkin karena topik yang dibahas tidak konkret atau relevan bagi saya."
2,"Ketika saya mendengarkan sebuah band, saya lebih ingin melihat anggota band dan penonton lainnya."
0,"Berpikir intuitif, tanpa kata-kata"
2,Saya mahir dan sangat menikmati menyusun dan membuat grafik atau diagram
0,"Meminta pertanyaan tes untuk dibacakan kepada saya, memfasilitasi pemrosesan dan pemahaman pendengaran selama penilaian."
2,Senang duduk di bangku paling depan dan menulis penjelasan dengan rapi dan teratur
0,Bagus terdengar untukku.
0,Mendengarkan musik
2,"Jika saya mengajarkan atau menunjukkan sesuatu yang baru kepada seseorang, saya cenderung menuliskan instruksi untuk mereka"
2,"Ketika pertama kali menghubungi orang baru, saya biasanya membuat janji untuk bertemu muka"
1,Tidak dapat duduk diam untuk waktu lama
0,Saya mengingat hal-hal terbaik dengan mengatakannya keras-keras atau mengulangi kata-kata dan poin-poin penting di kepala saya
2,Saya lebih suka kegiatan demonstrasi
1,Mengandalkan apa yang dapat saya alami atau lakukan secara langsung
1,Saya merasa mudah belajar dengan kegiatan praktikum
2,Memberi catatan atau bahan bacaan
2,"Ketika saya membutuhkan petunjuk jalan saat bepergian, saya biasanya melihat peta"
1,Saat menjelaskan dan mengajarkan sesuatu kepada orang lain saya cenderung dengan cara memerhatikan gerakan badannya terlebih dahulu
0,Saya sering merekam penjelasan dosen dengan alat perekam
0,Senang melakukan diskusi dengan teman dan dosen
0,"Mengikuti perkuliahan, pelatihan verbal"
2,Pola mengingat dengan menulis informasi berkali-kali
0,Mendengarkan radio
1,Metode jigsaw
1,Saya memainkan koin atau kunci di dalam kantung saya
1,Membuat catatan tersendiri dan menggunakan alat bantu
0,Konsentrasi saya mudah terganggu oleh suara dan keributan
1,"Mengingat apa yang telah dilakukan, tetapi mengalami kesulitan mengingat apa yang dikatakan atau dilihat"
1,Senang belajar dengan eksplorasi langsung di lapangan
2,"Saat saya belajar untuk ujian, saya lebih suka membaca catatan, membaca judul buku, dan melihat diagram dan ilustrasi."
0,Membaca buku dengan suara yang keras
2,Berbicara dengan cepat
0,Saya sering belajar dengan bantuan iringan musik
2,Saya menulis secara detail naskah presentasi/pidato terlebih dahulu sebelum mempresentasikannya
2,Jenis seni yang paling saya suka yaitu seni rupa
0,"Ketika saya cemas, saya berbicara di kepala saya atau dengan seorang teman tentang apa yang paling membuat saya khawatir."
0,Mengungkapkan antusiasme saya terhadap materi pelajaran melalui komunikasi verbal.
0,Pola berbicara sedang dan berirama
2,Saya bisa mengetahui suasana hati seseorang dengan melihat ekspresi wajah
0,Hal yang saya ingat jika bertemu kembali dengan seseorang yaitu lupa wajahnya tapi ingat namanya
1,Saya memiliki kemampuan dalam menyusun potongan gambar dengan cepat
0,Hal yang paling mudah mengganggu konsentrasi saya yaitu suara dan keributan
0,"Jika saya mengajar atau menunjukkan sesuatu yang baru kepada seseorang, saya cenderung memberi mereka penjelasan verbal."
0,Saya lebih suka mendengarkan ceramah atau pidato yang bagus daripada membaca tentang materi yang sama.
2,Melihat poster yang mengiklankan film lain adalah hal yang paling mungkin menurut saya ketika saya sedang mengantri di bioskop
1,Mengingat semua yang dikerjakan
1,Kamu sangat tidak sensitif.
2,Mencoret-coret tanpa arti selama berbicara di telepon atau kuliah
2,Saya selalu menyediakan pensil/pena dengan beberapa warna yang berbeda
1,Saya dapat mengerjakan suatu pekerjaan dengan cara mencari tahu sambil melakukan pekerjaan tersebut
2,"Ruang putih dalam buku memungkinkan tata letak yang seimbang secara visual, mencegah kelebihan informasi dan memungkinkan pembaca untuk fokus pada konten secara lebih efektif."
1,"Berpartisipasi dalam seminar langsung, kesempatan belajar, kunjungan lapangan, dan tur yang memberikan pembelajaran interaktif dan pengalaman."
0,Saya lebih suka mendengarkan berita di radio atau online daripada membacanya di koran atau di internet.
2,Diberi penjelasan secara deskriptif agar memiliki bayangan yang jelas tentang materi yang dibicarakan
0,"Menjelaskan gambar dan visual lainnya kepada seseorang yang tidak hadir, memungkinkan saya mengartikulasikan dan memperkuat pemahaman tentang konten visual."
1,"Saat saya cemas, saya hanya bisa duduk diam tanpa bergerak."
2,Sering menggunakan frasa seperti 'tunjukkan padaku' atau 'ayo kita lihat itu'.
2,"Dalam mempelajari buku, senang membaca ringkasannya terlebih dahulu sebelum membaca lebih detailnya"
2,"Saat saya berupaya memecahkan masalah, saya membuat daftar, mengatur langkah-langkahnya, dan mencentangnya setelah selesai"
2,Perlu adanya reflektif jurnal di akhir pembelajaran pada setiap mata pelajaran
1,Meningkatkan pemahaman saya dengan memikirkan berbagai contoh yang menunjukkan penerapan informasi.
2,Konsentrasi saya tidak mudah terganggu dengan keributan
2,Selalu membuat catatan untuk mengingat informasi
2,Saya mengingat hal-hal terbaik dengan menulis catatan atau menyimpan detail tercetak (print)
1,Saya dapat mengingat hal-hal terbaik dengan melakukan dan mempraktikkan aktivitas atau membayangkannya dilakukan
1,Menggunakan jari sebagai petunjuk saat membaca
2,"Saat saya berupaya memecahkan masalah, saya akan membuat daftar, mengatur langkah-langkahnya, dan mencentangnya setelah selesai"
2,"Sebelum mengerjakan sesuatu, saya selalu mengikuti petunjuk gambar terlebih dahulu"
2,Saya mengisi waktu luang dengan menonton TV atau film
1,"Saya lebih suka menggunakan poster, model, atau praktik nyata dan kegiatan lain di kelas."
1,Pengalaman yang aktif berupa simulasi
0,Merekam ceramah untuk membantu mengisi celah dalam catatan saya yang terselubung ke kaset auditori
0,"Saya mengingat sesuatu hal secara baik dengan cara mendengarkan kuliah termasuk mendapatkan informasi, penjelasan dan diskusi.
"
2,Menyukai mindmap (peta pemikiran)
2,Memahami bacaan dengan lebih cepat dengan membayangkan semua yang dibaca
0,"Ketika saya menerangkan kepada orang lain, saya cenderung menerangkan kepada mereka dengan berbagai cara berbeda sampai mereka mengerti"
2,Gangguan visual sangat mengganggu konsentrasi saya
2,Mencoba memvisualisasikan bagaimana informasi muncul di halaman.
1,Lakon-lakon pendek dan lucu dapat membantu untuk lebih mudah memahami
0,Saya memperhatikan orang karena suara dan nada bicaranya
0,Jadwalkan pemeriksaan pendengaran secara teratur untuk memastikan kemampuan pendengaran yang optimal untuk pembelajaran yang efektif.
0,Sebagian besar waktu luang saya diisi dengan mengobrol dengan teman
2,"Mempercepat proses belajar dengan membaca dan melihat materi visual dalam bentuk bahasa, surat, kata, angka, dan membuat kontak mata dengan lawan bicara"
0,Saya melakukan yang terbaik dalam mata pelajaran akademik dengan mendengarkan ceramah dan kaset.
1,Saya menghafal dengan cara menghafal sambil berjalan dan melakukan sesuatu
2,"Lebih menyukai metode pembelajaran yang melampaui handout, kata-kata yang diucapkan, ceramah, buku pelajaran, atau penilaian yang sangat bergantung pada penggunaan kata, sintaksis, dan tata bahasa."
0,"Saat saya berupaya memecahkan masalah, saya melakukan beberapa panggilan telepon dan berbicara dengan teman atau pakar"
2,Saya pandai bekerja dan memecahkan teka-teki dan labirin.
2,"Bagan atau grafik atau diagram dapat mengilustrasikan data atau konsep yang kompleks secara visual, sehingga lebih mudah untuk dipahami dan diingat."
2,"Slide dengan pengaturan ruang yang berbeda pada halaman dapat membantu mengatur informasi dan menyoroti poin-poin penting, membantu penyerapan pengetahuan."
1,"Ketika saya berkonsentrasi, saya biasanya bergerak mondar-mandir, menggerak-gerakkan bolpoin/pensil, dan menyentuh sesuatu"
0,"Jika guru melihat sedang dalam kesulitan memahami suatu konsep, lebih mudah membantunya dengan mengajak berbicara untuk memahaminya atau mengubah fakta panjang menjadi sebuah lagu yang mudah diingat oleh siswa."
2,"Sering membuat simbol-simbol, gambar, tabel, grafik dan peta konsep"
1,Saya tidak dapat duduk dengan tenang untuk waktu yang lama
2,"Bereksperimen dengan merekonstruksi gambar dengan cara yang berbeda, menjelajahi berbagai pengaturan ruang untuk meningkatkan pemahaman dan daya ingat."
1,Praktikum
2,"Ketika menelpon, saya sambil mencoret-coret kertas"
0,Saya menghafal dengan cara mengucapkan
2,Saya sering meluangkan waktu ke perpustakaan untuk membaca buku
1,Mereka benar-benar memanfaatkanku.
2,Mengingat setiap detail yang dibaca dari pada harus mencari yang tersirat
1,Nikmati kunjungan lapangan dan tugas yang melibatkan manipulasi materi
2,Mencatat hal-hal penting terkait materi yang baru saja diajarkan bahkan kegiatan pada waktu itu juga dicatat
2,Ini adalah contoh yang mencerahkan.
0,"Senang berbicara, berdiskusi dan menjelaskan sesuatu panjang lebar"
1,"Ketika pertama kali menghubungi orang baru, saya biasanya pergi bersama sambil makan siang atau kegiatan lainnya"
2,"Dalam kelompok belajar atau diskusi, fokuskan pada bagaimana penampilan orang saat berbicara."
2,Saya sering meluangkan waktu untuk menyalin materi di buku dengan kalimat sendiri yang mudah dipahami
2,Mengingat apa yang dilihat daripada apa yang didengar
2,Saya cenderung mengatakan bahwa saya mengerti maksud Anda
2,"Disediakan media, slide, video disertai dengan gambar-gambar yang menarik dan imajinatif"
2,Saya berbicara dengan cepat
0,"Saya tidak suka perhiasan atau riasan, tetapi saya suka membeli rantai yang melengkapi pakaian saya"
2,Saya suka mencatat semua informasi dengan tulisan yang rapi dan teratur
2,"Jika seseorang diajarkan atau ditunjukkan sesuatu yang baru oleh saya, instruksi akan cenderung ditulis oleh saya."
2,Minimalkan gangguan selama sesi belajar untuk mempertahankan fokus pada materi visual dan mengoptimalkan hasil belajar.
0,"Menyukai metode presentasi kelompok, dimana yang menjelaskan di depan kelas adalah teman sendiri dengan bahasa yang lebih sederhana sehingga lebih mudah dipahami."
2,Saya terampil dan senang mengembangkan pembuatan grafik dan bagan
0,"Mempercepat proses belajar dengan mendengar, berbicara dan berdiskusi"
1,Saya senang terlibat aktif di kelas
0,"Sebagai preferensi, saya mungkin menemukan penjelasan verbal lebih berharga daripada kata-kata tertulis, mencari penjelasan pendengaran daripada hanya mengandalkan bahan tertulis."
1,"Ketika saya belajar untuk ujian, saya lebih suka menuliskannya di kartu indeks dan membuat model atau diagram"
1,Saya merasa kamu benar.
0,Saya mudah mengingat dengan melalui penjelasan dan diskusi
1,Temukan alasan untuk bermain-main atau bergerak saat bosan
2,Saya dapat dengan mudah memahami dan mengikuti petunjuk di peta.
2,Cara berkomunikasi langsung/melihat ekspresi wajah
2,Saya lebih mudah mengikuti petunjuk gambar atau diagram daripada petunjuk uraian
2,Memberikan gambaran-gambaran sekilas dari materi yang akan dipelajari
1,Saya belajar mengeja suatu kata dengan cara “mengeja dengan jari” masing-masing kata
2,"Ketika membeli mobil baru, saya membaca artikelnya di koran atau majalah"
0,"Jika saya memilih makanan dari menu, saya cenderung membicarakan pilihan di kepala saya atau dengan teman."
2,Ketika mengeja sambil melihat kata yang dieja
1,"Saya merasa sangat nyaman untuk menyentuh sesuatu, memeluk, berjabat tangan dan hal lain yang melibatkan kontak langsung."
1,"Cenderung menyukai gambaran global, bahasa sensoris"
0,Saya lebih mudah belajar dengan cara mendengar dan mengingat apa yang didiskusikan daripada yang saya lihat
2,Seni rupa
1,Saya mudah memahami pelajaran yang berupa praktikum
2,"Jika bertemu kembali dengan seseorang, hal yang saya ingat adalah wajahnya tapi lupa namanya"
1,"Suka bereksperimen, langsung, dan tidak pernah melihat instruksi terlebih dahulu"
0,"Alokasikan waktu dalam suasana tenang untuk mengingat dan meninjau ide-ide, memungkinkan konsentrasi terfokus dan penguatan memori."
2,Mempunyai masalah untuk mengingat instruksi verbal kecuali jika ditulis dan sering meminta bantuan orang untuk mengulanginya
0,Bicara dengan siswa lain tentang materi kelas.
0,Kegiatan yang lebih disukai adalah diskusi/berbicara
2,Saya dapat mengerjakan suatu pekerjaan dengan cara mengikuti petunjuk gambar terlebih dahulu
2,Saya menghafal dengan cara membayangkan
1,Menyentuh orang untuk mendapat perhatian mereka
0,"Ketika memasak menu baru, saya lebih suka menelepon teman untuk meminta penjelasan"
0,Mencoba gunakan kaset untuk melengkapi bahan belajar lainnya.
2,"Jika saya mengajar atau menunjukkan sesuatu yang baru kepada seseorang, saya cenderung memberi mereka penjelasan verbal."
1,Saya menikmati waktu luang dengan berolahraga atau otak-atik sesuatu
0,Membaca catatan ringkasan saya dengan lantang.
0,Berbicara dalam irama terpola
2,Saya lebih suka mendapatkan informasi tentang subjek yang menarik dengan membaca tentangnya.
2,Tersenyum lebar adalah hal yang paling mungkin yang saya lakukan ketika saya bahagia
2,Saya suka menulis atau membuat catatan untuk tinjauan visual.
2,Saya tahu apa yang harus saya katakan tetapi tidak terpikir kata yang tepat
1,Ingat eksperimen dan terlibat dalam kegiatan langsung yang memberikan pemahaman pengalaman informasi.
1,Seni gerak atau olahraga
2,Saya memahami apa yang kamu ucapkan.
1,"Ketika saya menerangkan kepada orang lain, saya cenderung mendorong mereka untuk mencoba, biarkan mereka mencoba ide saya"
1,"Menggunakan pendekatan yang terorganisir, sistematis dan bertahap yang melibatkan tubuh dan otot saya"
1,"Ketika membeli mobil baru, saya test drive berbagai jenis mobil"
2,"Saya cenderung berkata ""lihat bagaimana saya melakukannya"""
0,Saya senang presentasi di depan kelas
2,Ingatan pertama saya yaitu saat melihat sesuatu.
1,"Saya sangat menyukai ikut kegiatan olahraga, makan enak, dan berdansa"
2,Saya lebih baik dalam mendapat informasi dengan cara menulis di papan tulis disertai dengan penjelasan visual dan tugas membaca.
2,Saya lebih suka seni rupa (lukisan) daripada musik
2,"Sangat tertarik pada seni rupa dan desain grafik, arsitektur"
0,"Ketika saya belajar keahlian baru, saya lebih nyaman jika berbicara dengan pengajar apa yang seharusnya saya lakukan"
1,"Saya mengunyah permen karet, merokok atau mengemil saat belajar. "
2,"Meningkatkan pemahaman saya dengan menggambar diagram bila perlu, memvisualisasikan informasi untuk memperkuat pemahaman saya."
2,Saya berpikir cara terbaik untuk mengingat sesuatu dengan cara mengambarkan sesuatu hal tersebut di kepala
1,Saya tidak pernah memaksakan untuk belajar berjam-jam
0,"Saya dapat mengingat dengan baik dengan mendengarkan ceramah yang mencakup informasi, penjelasan dan diskusi."
0,Ingatan pertama saya adalah tentang diajak bicara.
2,"Saat marah, saya cemberut"
1,Selalu aktif di kelas
2,Menyederhanakan konsep kompleks untuk retensi yang lebih baik.
0,Itu berbunyi seperti bel.
0,Memahami bacaan jika dibaca dengan suara keras atau membaca dalam hati
0,"Ketika saya mempelajari keterampilan baru, saya merasa lebih nyaman berbicara dengan instruktur tentang apa yang seharusnya saya lakukan."
2,Saya suka menganalisa
1,Kebiasaan saya saat dalam berbicara yaitu berbicara sambil melakukan gerakan dan isyarat
0,Saya dapat mengetahui suasana hati seseorang melalui nada suara
2,Saya merasa mudah belajar dengan kegiatan membaca
2,Menggaris bawahi teks untuk menekankan informasi penting dan meningkatkan pemahaman.
0,"Meninggalkan ruang di catatan saya selama proses pembuatan catatan, menyediakan ruang untuk mengingat nanti dan informasi tambahan untuk ditambahkan untuk pemahaman yang lebih komprehensif."
1,"Ketika saya belajar untuk ujian, saya biasanya mengerjakan soal dan rumus"
0,Saya merasa menyesal jika tidak dapat mengikuti perkuliahan
1,"Jika saya memilih makanan dari menu, saya membayangkan seperti apa rasanya makanan itu."
1,"Memproses informasi atau melakukan tugas baru dengan terus maju dan mencobanya, belajar sambil jalan."
0,"Mendengarkan suara saya sendiri dan rekam pemikiran saya, lalu menuliskan ke dalam bentuk tulisan untuk refleksi dan penguatan lebih lanjut."
1,Saya senang bergabung dengan organisasi/ekstrakurikuler penelitian
2,Gambar yang berhubungan dengan topik
1,"Dengarkan pembicara atau presenter yang memberikan contoh kehidupan nyata, aplikasi praktis, pendekatan langsung, dan demonstrasi trial-and-error, memfasilitasi pemahaman yang lebih dalam tentang materi pelajaran."
1,Mempunyai perkembangan awal otot-otot yang besar
1,Memanfaatkan studi kasus dan aplikasi dunia nyata untuk membantu dalam memahami prinsip dan konsep abstrak.
2,"Berlatih memvisualisasikan informasi yang diucapkan atau dibacakan kepada saya, membentuk gambaran mental untuk membantu pemahaman dan ingatan."
1,Saya cenderung mengatakan saya tahu bagaimana perasaan Anda
0,"Mendengarkan dan catat, dan meninjau catatan saya sesering mungkin."
1,"Jika saya menjelaskan kepada seseorang, saya lebih mendorong mereka untuk mencoba dan membicarakannya melalui ide saya saat mereka melakukannya"
0,"Memilih posisi duduk di mana saya dapat mendengar dengan jelas, memungkinkan masukan pendengaran yang optimal selama kuliah atau diskusi."
0,Mendengarkan podcast
2,Saya memiliki kemampuan dalam merencanakan jangka panjang dengan baik
1,"Kegiatan seperti memasak, konstruksi, teknik dan seni membantu saya melihat dan belajar"
1,"Ketika saya bekerja untuk memecahkan masalah, saya lebih menyukai dengan membuat model dari masalah tersebut atau menjalani semua langkah dalam pikiran saya"
2,Kegiatan yang paling saya suka yaitu demonstrasi
0,Lebih suka gurauan lisan daripada komik
1,Kegiatan yang paling saya suka yaitu kegiatan fisik
2,Dapat belajar dan mengingat tulisan pengucapan bahasa dan pengejaan jika materinya disajikan dalam bentuk cetak dan terlihat rapi
2,"Memanfaatkan semua bahan pelajaran yang tersedia seperti bagan, peta, strip film, catatan, dan video."
0,"Mendengarkan iklan, podcast, atau tonton video untuk memperoleh informasi dan wawasan tentang berbagai topik."
2,Kebiasaan saya saat dalam berbicara yaitu singkat dan tidak senang mendengarkan pembicaraan panjang
0,Saya cenderung mengatakan saya mendengar apa yang Anda katakan
0,Suara bising adalah hal yang paling menganggu saya ketika saya mencoba untuk berkonsentrasi
2,Mari kita jelaskan subjek ini.
1,Ingatan pertama saya adalah melakukan sesuatu.
1,Selalu memberi alokasi waktu untuk istirahat di sela belajarnya
1,Saya merasa cocok dan dekat dengan orang lain karena mereka membuat perasaan saya nyaman
1,Saya selalu berusaha mendapat nilai A pada mata kuliah praktikum
2,Saya mengatakan bahwa maksud Anda dipahami oleh saya.
0,Saya mengingat hal-hal terbaik dengan mengatakannya keras-keras atau mengulangi kata-kata dan poin-poin penting di kepala saya
2,Hal yang paling mengganggu saya ketika mencoba untuk berkonsentrasi yaitu gangguan visual
2,Saya memperlihatkan emosi saya dalam perubaan wajah (cemberut) ketika saya sedang marah
2,Menemukan lingkungan pasif yang ideal
0,Sering merekam penjelasan dosen dengan alat perekam
1,Saya mengambil dan memegang benda-benda disekitar saya selama saya belajar.
2,"Jika kepada seseorang dijelaskan oleh saya, apa yang saya maksud akan cenderung ditunjukkan oleh saya kepada mereka."
2,"Membaca bahan secara sekilas, misalnya memberikan gambaran umum mengenai bahan bacaan sebelum ke perinciannya."
1,"Membaca sambil melakukan gerakan fisik, tidak tahan duduk berjam-jam"
1,Saya sering melakukan eksplorasi ke kebun untuk menambah pemahaman
0,Saya lebih mudah mengingat penjelasan dan hasil diskusi daripada membaca buku
2,"Berusaha keras untuk melihat keseluruhan gambar, mengintegrasikan berbagai aspek dan perspektif untuk mendapatkan pemahaman yang komprehensif."
1,Saya sering melakukan manipulasi dari konsep-konsep ilmu biologi
0,Saya sering meminta bantuan teman untuk menjelaskan materi yang belum saya pahami
0,Ingatan pertama saya adalah tentang diajak bicara.
0,Hal yang paling mengganggu saya ketika mencoba untuk berkonsentrasi yaitu Kebisingan
1,"Memberikan contoh-contoh, buku-buku petunjuk praktek"
1,"Di sela-sela belajar, saya sering mengalokasikan waktu untuk bergerak dan beristirahat secara berkala"
1,Mencoba telusuri kata-kata saat saya mengucapkannya.
1,"Mengunyah permen karet, berjalan-jalan, atau bergoyang di kursi sambil membaca atau belajar."
2,Saya mahir dalam mengerjakan dan memecahkan teka-teki potongan gambar
1,Saya lebih sering menghafal sesuatu sambil berjalan dan melihat
2,Lebih suka membaca daripada dibacakan
0,Pola mengingat melalui penjelasan dan diskusi
1,"Membuat dan menyimpan catatan kuliah dapat membantu saya membuat lembar belajar, dan mengaitkan materi kelas dengan aplikasi dan kejadian dunia nyata."
0,"Jika saya menjelaskan kepada seseorang, saya lebih nyaman menjelaskan kepada mereka dengan cara yang berbeda sampai mereka mengerti"
1,Saya dapat mengingat dengan baik dengan cara mencatatnya
0,Kegiatan yang paling saya suka yaitu diskusi dan berbicara
0,"Ketika saya berkonsentrasi, saya biasanya mendiskusikan masalah dan pemecahannya dalam pikiran saya"
2,Saya merasa cocok dan dekat dengan orang lain karena penampilan mereka
1,Saya sering belajar di luar ruangan
0,"Mempercepat proses belajar dengan mendengarkan musik, mendengarkan orang lain belajar"
2,Adanya kontak mata dengan guru atau pengajar daripada harus mendengarkan saja
0,"Ketika saya membutuhkan petunjuk jalan saat bepergian, saya biasanya bertanya kepada seseorang"
1,Saya selalu ingat seseorang dengan yang semua ia kerjakan
1,"Jika terasa benar, lakukan saja."
1,Melacak kata dengan jari saya untuk mempelajari ejaan (finger spelling).
1,"Ketika saya mendengarkan sebuah band, saya tidak dapat menahan diri untuk mengikuti irama musik."
2,Saya mengingat hal-hal terbaik dengan menulis catatan atau menyimpan detail tercetak (print)
1,Saya sangat menyukai kegiatan olahraga dan kegiatan fisik lainnya
2,Saya lebih suka melihat daripada mendengar
0,Saya lebih menyukai mendengarkan berita di radio daripada membaca di surat kabar.
2,Biasanya rapi dan bersih
0,Berbicara dengan orang di sebelah saya saat mengantri di bioskop adalah hal yang paling saya sukai
0,"Ketika saya berkonsentrasi, saya paling sering memikirkan masalah dan kemungkinan solusi di kepala saya."
2,Pertahankan pemeriksaan mata secara teratur untuk memastikan ketajaman visual yang optimal untuk pembelajaran yang efektif.
2,Cara bekerja mengikuti petunjuk gambar dan termasuk perencana jangka panjang yang baik
2,"Ketika saya belajar untuk ujian, saya biasanya banyak merangkum catatan dan membuat diagram"
0,Jauh lebih sulit untuk mengetahui apa yang harus dikatakan kepada orang tersayang yang tidak sadarkan diri daripada film-film
2,"Jika barang yang rusak harus dikeluhkan, surat akan paling nyaman ditulis oleh saya."
2,"Dalam mengeja kata, saya sambil melihat kata yang dieja"
0,Saya merasa mudah belajar dengan kegiatan mendengar dan diskusi
0,Saya dapat mengetahui suasana hati seseorang hanya dengan mendengarkan nada suaranya
2,"Ketika berkonsentrasi, kata-kata atau gambar di depan saya sering kali menjadi fokus oleh saya."
0,Selalu berusaha mengikuti perkuliahan
2,"Ketika saya belajar keahlian baru, saya lebih nyaman jika melihat apa yang pengajar kerjakan"
0,"Ketika saya mendengarkan sebuah band, saya tidak bisa tidak mendengarkan lirik dan musiknya."
1,Saya terjebak di sudut.
0,"Menggunakan media yang sesuai seperti film, video, komputer dan lain-lain"
0,Seni musik
2,Menurut saya cara terbaik untuk mengingat sesuatu adalah dengan membayangkannya dalam pikiran saya
1,Bergerak bebas agar nyaman dan relaks dan merasa tersiksa jika duduk diam
1,Sering menggunakan frasa seperti 'biarkan saya mencoba' atau 'bagaimana perasaan Anda?'.
1,Sebagian besar waktu luang saya diisi dengan melakukan aktivitas fisik atau membuat sesuatu apa saja
1,"Ketika saya hendak memilih makanan yang tertera di daftar menu, saya cenderung membayangkan seperti apa rasa makanan itu"
1,"Jika saya harus mengeluh tentang barang yang rusak, saya merasa nyaman untuk mengembalikan barang tersebut ke toko atau mengirimkannya ke kantor pusat"
0,"Saya memerlukan penjelasan diagram, grafik, atau petunjuk visual"
1,Saya sering belajar mandiri dengan cara mendatangi/mencari obyek langsung
1,"Saat saya belajar untuk ujian, saya lebih suka lebih suka menuliskannya di kartu indeks dan membuat model atau diagram"
1,Menanggapi perhatian fisik
2,Biasanya tidak terganggu oleh keributan
2,Hal yang saya ingat jika bertemu kembali dengan seseorang yaitu lupa namanya tapi ingat wajahnya
2,"Ketika saya berkonsentrasi, saya lebih fokus pada kata-kata atau gambar di depan saya."
0,Saya selalu masuk kelas untuk mendengarkan penjelasan guru
2,"Jika saya mengajar atau menunjukkan sesuatu yang baru kepada seseorang, saya cenderung memberi mereka penjelasan verbal."
0,Menyukai tugas maupun soal ulangan dibagikan kembali kemudian dibahas bersama
0,"Ketika berbelanja pakaian, saya cenderung berdiskusi dengan penjaga toko mengenai model yang cocok"
0,"Adanya sesi pertanyaan akan dapat memicu mahasiswa untuk lebih antusias mendengarkan, menyusun pertanyaan, dan bahkan menjawab pertanyaan"
0,Merasa kesulitan untuk menulis namun pandai dalam bercerita
1,"Saya cenderung berkata ""kamu harus mencobanya sendiri"""
1,"Jika saya mengajar atau menunjukkan sesuatu yang baru kepada seseorang, saya cenderung mendemonstrasikannya terlebih dahulu, lalu membiarkan mereka mencobanya."
